,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20211010,1,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
1,20211010,2,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
2,20211010,3,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
3,20211010,4,0.000352665,0.00342659,5.83263e-08,0.000818214,3.60777e-05,1.02095e-06,0.00441279,3.80092e-10,0.00169483
4,20211010,5,0.179583,0.20178,0.12996,0.267055,0.139111,0.196551,0.288216,0.117907,0.15655
5,20211010,6,0.354256,0.350298,0.330935,0.459729,0.309149,0.414626,0.447159,0.318949,0.303724
6,20211010,7,0.36899,0.37964,0.340475,0.48331,0.326543,0.435091,0.477952,0.328439,0.337822
7,20211010,8,0.530224,0.559814,0.567316,0.629225,0.52364,0.688005,0.64215,0.600491,0.519242
8,20211010,9,0.786714,0.872811,0.803124,0.864605,0.83685,0.893979,0.937405,0.910151,0.87597
9,20211010,10,2.84312,2.82858,2.96421,2.96345,2.90554,3.06922,2.93003,3.10274,2.83397
10,20211010,11,4.07652,4.07846,4.1883,4.1096,4.24199,4.17962,4.09514,4.41213,4.19368
11,20211010,12,5.5284,5.61529,5.57417,5.53364,5.7524,5.54922,5.60391,5.84566,5.76654
12,20211010,13,4.05409,4.3,3.87354,3.98981,4.3114,3.81441,4.23449,4.17977,4.47109
13,20211010,14,2.81663,3.05379,2.55439,2.76422,2.99369,2.50619,3.00792,2.78778,3.15833
14,20211010,15,1.32221,1.42045,1.16962,1.28896,1.43054,1.12698,1.40196,1.33227,1.47202
15,20211010,16,1.45584,1.2958,1.60629,1.49526,1.50039,1.5751,1.34123,1.73917,1.30751
16,20211010,17,2.70316,2.52158,2.70896,2.83379,2.77294,2.75872,2.64061,2.89726,2.52786
17,20211010,18,2.72278,2.54352,2.63658,2.8818,2.73276,2.72417,2.69301,2.76829,2.51798
18,20211010,19,2.40667,2.44691,2.16385,2.58154,2.46716,2.35766,2.53349,2.24831,2.52659
19,20211010,20,0.86014,0.879687,0.859145,0.970239,0.875703,1.00922,0.89967,0.829705,0.988658
20,20211010,21,0.652248,0.723512,0.659292,0.75787,0.680502,0.807395,0.718286,0.627203,0.851381
21,20211010,22,0.249015,0.289775,0.233287,0.290021,0.239153,0.277592,0.303577,0.208919,0.325237
22,20211010,23,0.357424,0.4248,0.2895,0.335846,0.384483,0.267627,0.41214,0.328002,0.452336
23,20211010,24,0.387482,0.488132,0.317559,0.323263,0.523939,0.225686,0.478648,0.543396,0.542863
24,20211010,25,0.84642,0.973859,0.716197,0.796068,1.01857,0.626836,0.981945,0.991961,1.04454
25,20211010,26,0.975137,1.12871,0.823945,0.963997,1.10365,0.775275,1.15612,1.05819,1.16873
26,20211010,27,0.920947,1.01571,0.809875,1.00969,0.902718,0.883068,1.10837,0.826346,0.977175
27,20211010,28,1.06921,1.16562,0.945402,1.26356,0.938808,1.13723,1.30977,0.831425,1.05977
28,20211010,29,1.8461,1.96987,1.72174,2.10814,1.70654,2.0118,2.12591,1.54525,1.90693
29,20211010,30,3.41078,3.7012,3.22427,3.6792,3.31894,3.51304,3.83983,3.0868,3.70923
30,20211010,31,4.11931,4.50352,3.88732,4.4071,4.06323,4.17894,4.66414,3.83031,4.5344
31,20211010,32,5.8106,6.14985,5.49542,6.12685,5.68844,5.82342,6.31695,5.40782,6.12084
32,20211010,33,6.38923,6.72976,5.99789,6.86789,6.12332,6.48244,7.07167,5.80932,6.51398
33,20211010,34,6.60403,6.76111,6.35574,7.22959,6.20522,7.00587,7.28217,6.00795,6.39147
34,20211010,35,5.2423,5.33217,5.14649,6.05307,4.73819,5.99779,6.03277,4.66189,4.87368
35,20211010,36,3.26527,3.23178,3.30079,3.9865,2.80356,4.0815,3.84999,2.82199,2.83524
36,20211010,37,2.02728,2.06816,2.03563,2.57655,1.64165,2.60846,2.5381,1.62867,1.75741
37,20211010,38,0.929167,1.004,0.944576,1.20419,0.699633,1.17996,1.28641,0.716751,0.78232
38,20211010,39,0.849329,0.926889,0.842175,1.08429,0.640554,1.03364,1.15749,0.631805,0.73745
39,20211010,40,2.51746,2.29578,2.58423,2.9371,2.14963,3.07523,2.5375,2.17734,2.09096
40,20211010,41,2.76163,2.34527,3.00518,3.28025,2.33349,3.6004,2.63321,2.50767,2.13191
41,20211010,42,4.3501,3.77638,4.7323,4.8103,4.00695,5.215,4.02677,4.36791,3.60827
42,20211010,43,2.58578,2.29179,2.91338,2.79046,2.47072,3.0439,2.46346,2.81806,2.19984
43,20211010,44,2.31572,2.40208,2.34872,2.41759,2.27178,2.32986,2.57132,2.40614,2.28236
44,20211010,45,1.87562,2.21222,1.63408,2.08694,1.73333,1.80068,2.44464,1.52174,2.03067
45,20211010,46,2.91258,3.19365,2.73984,3.25459,2.62001,3.04145,3.48967,2.46391,2.92065
46,20211010,47,3.61046,3.71961,3.51798,4.15592,3.135,4.05157,4.12415,3.0459,3.32343
47,20211010,48,3.57471,3.66332,3.48589,3.98981,3.11844,3.86381,3.97695,3.05831,3.2964
