,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20211005,1,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
1,20211005,2,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
2,20211005,3,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
3,20211005,4,5.27632e-08,1.16907e-08,1.1653e-05,1.61118e-07,8.90664e-08,4.72912e-07,1.98988e-08,0.000153489,2.52592e-08
4,20211005,5,0.106543,0.0835511,0.135256,0.117206,0.0896028,0.131866,0.0957743,0.136335,0.0634315
5,20211005,6,0.154254,0.139444,0.180844,0.160582,0.143879,0.1702,0.145603,0.190417,0.123559
6,20211005,7,0.207341,0.236944,0.208941,0.200616,0.256921,0.174469,0.236416,0.281425,0.265368
7,20211005,8,0.269126,0.346655,0.211286,0.207277,0.390025,0.144341,0.267594,0.329594,0.444395
8,20211005,9,0.301762,0.380201,0.214774,0.227892,0.433232,0.140078,0.286839,0.348729,0.487577
9,20211005,10,0.263936,0.293633,0.211309,0.193805,0.345562,0.146499,0.199433,0.293911,0.366508
10,20211005,11,0.145221,0.145099,0.167896,0.107511,0.194454,0.125201,0.096271,0.214994,0.195128
11,20211005,12,0.0655237,0.055678,0.123024,0.0444248,0.0971441,0.0941008,0.0272624,0.145147,0.0918374
12,20211005,13,0.0502623,0.0447449,0.0983793,0.0384781,0.0717725,0.0834103,0.0238557,0.108802,0.0710977
13,20211005,14,0.000648856,1.72257e-05,0.00420415,0.000973105,0.000270545,0.00298148,6.7234e-05,0.00397581,4.05312e-05
14,20211005,15,0.219159,0.435798,0.033275,0.0659631,0.456035,0.0206293,0.257506,0.133269,0.554711
15,20211005,16,0.221733,0.448857,0.0333297,0.0660312,0.466521,0.0209225,0.257638,0.13336,0.574995
16,20211005,17,0.221733,0.448857,0.0333297,0.0659713,0.466424,0.0209139,0.257638,0.132753,0.574973
17,20211005,18,0.00257397,0.013059,5.47171e-05,7.6592e-05,0.0104856,0.000295162,0.000142515,9.11951e-05,0.0202833
18,20211005,19,0.0,0.0,0.0,8.52346e-06,0.0,1.96695e-06,1.04904e-05,0.0,0.0
19,20211005,20,0.0,0.0,0.0,0.0,0.0,0.0,8.28505e-06,0.0,0.0
20,20211005,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,20211005,22,0.00564343,0.00187385,0.0114824,0.00145736,0.033707,0.002197,0.000995219,0.0464625,0.0286577
22,20211005,23,0.0488486,0.0252582,0.0514958,0.0995373,0.0580859,0.095593,0.0505689,0.0838435,0.0387936
23,20211005,24,0.0967967,0.0528628,0.110096,0.168364,0.102016,0.184923,0.11477,0.129345,0.0534005
24,20211005,25,0.205169,0.169583,0.198587,0.336654,0.151473,0.344911,0.279349,0.165626,0.0986365
25,20211005,26,0.339749,0.362156,0.338006,0.45373,0.265488,0.458928,0.445185,0.265682,0.28988
26,20211005,27,0.408087,0.456921,0.380856,0.437526,0.420137,0.400749,0.445072,0.389228,0.462456
27,20211005,28,0.294316,0.339805,0.280953,0.270699,0.337695,0.240292,0.28382,0.306537,0.395079
28,20211005,29,0.146674,0.33574,0.102602,0.0856332,0.232473,0.0349625,0.281875,0.169917,0.397152
29,20211005,30,0.0304759,0.213384,0.00120842,0.0337776,0.0338944,0.00414491,0.21825,0.00094533,0.209969
30,20211005,31,0.030302,0.211922,0.00116718,0.0315295,0.0331725,0.00283301,0.214195,0.000904799,0.203453
31,20211005,32,0.00134408,0.000626087,0.0007056,0.00776458,6.55651e-05,0.00496495,0.00660753,9.36985e-05,1.23978e-05
32,20211005,33,0.00313342,0.0025363,0.00199127,0.0161552,0.000210643,0.0104585,0.016009,0.000162363,0.000349522
33,20211005,34,0.00474298,0.00410974,0.00330877,0.0222818,0.000424862,0.0147141,0.0233744,0.000396967,0.00052309
34,20211005,35,0.00580573,0.00590181,0.00431073,0.0239356,0.000775099,0.0160326,0.0254911,0.000714064,0.00103164
35,20211005,36,0.00393355,0.00397801,0.00297964,0.0148071,0.000628591,0.0102265,0.0156296,0.000571132,0.000694513
36,20211005,37,0.00225329,0.00238931,0.00163293,0.00800872,0.000414371,0.00555432,0.00799799,0.000323415,0.000520945
37,20211005,38,4.52995e-06,0.0,1.09673e-05,2.89679e-05,0.0,2.08616e-05,3.21865e-06,0.0,0.0
38,20211005,39,0.0,0.0,0.0,6.19888e-06,0.0,0.0,3.49283e-05,0.0,0.0
39,20211005,40,1.5974e-05,0.0,3.45707e-06,0.000860453,0.0,0.000193238,0.000605583,0.0,0.0
40,20211005,41,1.5974e-05,0.0,3.45707e-06,0.000860453,0.0,0.000193238,0.000605583,0.0,0.0
41,20211005,42,1.5974e-05,0.0,3.45707e-06,0.000854254,0.0,0.000193238,0.000570655,0.0,0.0
42,20211005,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,20211005,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,20211005,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,20211005,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,20211005,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,20211005,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
