,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20210810,1,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
1,20210810,2,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
2,20210810,3,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
3,20210810,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20210810,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20210810,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20210810,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,20210810,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,20210810,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,20210810,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,20210810,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,20210810,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,20210810,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,20210810,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,20210810,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,20210810,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,20210810,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,20210810,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,20210810,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20210810,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20210810,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,20210810,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,20210810,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,20210810,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,20210810,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,20210810,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,20210810,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,20210810,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,20210810,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,20210810,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,20210810,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,20210810,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,20210810,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,20210810,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,20210810,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,20210810,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,20210810,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,20210810,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,20210810,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,20210810,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,20210810,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,20210810,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,20210810,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,20210810,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,20210810,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,20210810,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,20210810,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,20210810,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
